female,married,spouse_rated,age,X_factor_bi,X_factor_pd,X_factor_comp,X_factor_coll,X_factor_loan,X_factor_med,X_factor_pip,X_factor_umbi,X_factor_umpd,X_factor_rent,X_factor_roadside,duplicate
1,1,1,24,1.14,1.16,1.14,1.14,1.14,1.24,1.16,1,1.14,1.25,1.71,0
1,1,0,25,1.42,1.36,1.1,1.3,1.1,1.35,1.14,1.3,1.3,1.43,1.95,0
1,1,1,25,1.07,1.04,1.02,1.05,1.02,1.23,0.94,1.08,1.05,1.16,1.58,0
1,1,0,30,1.32,1.19,1.09,1.17,1.09,1.47,1.3,1.45,1.17,1.29,1.76,0
1,1,1,30,0.97,0.96,0.96,0.97,0.96,1.22,1.01,1.22,0.97,1.07,1.46,0
1,1,0,35,1.37,1.21,1.05,1.14,1.05,1.59,1.39,1.78,1.14,1.25,1.71,0
1,1,1,35,1.12,1.04,0.92,0.99,0.92,1.45,1.13,1.46,0.99,1.09,1.49,0
1,1,0,40,1.29,1.15,0.97,1.08,0.97,1.62,1.41,1.71,1.08,1.19,1.62,0
1,1,1,40,1.01,1.02,0.86,0.96,0.86,1.37,1.15,1.62,0.96,1.06,1.44,0
1,1,0,50,1.08,1.03,0.88,0.95,0.88,1.42,1.22,1.47,0.95,1.05,1.43,0
1,1,1,50,0.96,0.89,0.81,0.81,0.81,1.1,1.01,1.32,0.81,0.89,1.22,0
1,1,0,55,1.08,1,0.81,0.93,0.81,1.28,1.14,1.4,0.93,1.02,1.4,0
1,1,1,55,0.81,0.89,0.77,0.79,0.77,1.15,0.88,1.15,0.79,0.87,1.19,0
1,1,0,60,1.1,1.02,0.8,0.93,0.8,1.28,1.13,1.38,0.93,1.02,1.4,0
1,1,1,60,0.8,0.89,0.76,0.79,0.76,1.05,0.88,1.12,0.79,0.87,1.19,0
1,1,0,61,1.11,1.04,0.78,0.94,0.78,1.29,1.11,1.37,0.94,1.03,1.41,0
1,1,1,61,0.79,0.9,0.75,0.79,0.75,1.02,0.88,1.1,0.79,0.87,1.19,0
1,1,0,62,1.12,1.06,0.76,0.94,0.76,1.29,1.1,1.35,0.94,1.03,1.41,0
1,1,1,62,0.78,0.9,0.73,0.79,0.73,0.98,0.88,1.08,0.79,0.87,1.19,0
1,1,0,63,1.13,1.08,0.75,0.94,0.75,1.29,1.09,1.34,0.94,1.03,1.41,0
1,1,1,63,0.77,0.91,0.71,0.79,0.71,0.95,0.88,1.06,0.79,0.87,1.19,0
1,1,0,64,1.15,1.11,0.75,0.95,0.75,1.3,1.08,1.33,0.95,1.05,1.43,0
1,1,1,64,0.76,0.91,0.7,0.79,0.7,0.9,0.88,1.05,0.79,0.87,1.19,0
1,1,0,65,1.18,1.13,0.74,0.98,0.74,1.29,1.07,1.33,0.98,1.08,1.47,0
1,1,1,65,0.81,0.93,0.67,0.83,0.67,0.83,0.83,1.05,0.83,0.91,1.25,0
1,1,0,66,1.21,1.15,0.73,1.02,0.73,1.28,1.07,1.32,1.02,1.12,1.53,0
1,1,1,66,0.84,0.94,0.65,0.85,0.65,0.86,0.83,1.05,0.85,0.94,1.28,0
1,1,0,67,1.25,1.18,0.73,1.05,0.73,1.28,1.06,1.32,1.05,1.16,1.58,0
1,1,1,67,0.88,0.96,0.64,0.88,0.64,0.89,0.83,1.04,0.88,0.97,1.32,0
1,1,0,68,1.28,1.2,0.72,1.09,0.72,1.27,1.06,1.31,1.09,1.2,1.64,0
1,1,1,68,0.91,0.98,0.63,0.9,0.63,0.92,0.83,1.03,0.9,0.99,1.35,0
1,1,0,69,1.32,1.23,0.71,1.13,0.71,1.27,1.05,1.3,1.13,1.24,1.7,0
1,1,1,69,0.95,1,0.62,0.92,0.62,0.95,0.83,1.03,0.92,1.01,1.38,0
1,1,0,70,1.36,1.25,0.7,1.17,0.7,1.26,1.04,1.3,1.17,1.29,1.76,0
1,1,1,70,0.99,1.02,0.62,0.95,0.62,0.99,0.83,1.02,0.95,1.05,1.43,0
1,1,0,71,1.4,1.28,0.7,1.21,0.7,1.26,1.04,1.29,1.21,1.33,1.82,0
